,algo_at_doc_prediction,algo_at_discharge,doc_prediction
algo_at_doc_prediction,1.0,0.9679822614491698,0.20884800461873504
algo_at_discharge,0.9679822614491698,1.0,0.2726969320166441
doc_prediction,0.20884800461873504,0.2726969320166441,1.0
